text,label
National anthem changed to a new remix version the ministry said in a press release.,0
New Delhi airport renamed to Bollywood International journalists covered the event extensively.,0
National anthem changed to a new remix version according to recent reports.,0
India bans all use of mobile phones in public areas the announcement created buzz nationwide.,0
National anthem changed to a new remix version journalists covered the event extensively.,0
India bans all use of mobile phones in public areas the ministry said in a press release.,0
India bans all use of mobile phones in public areas officials stated earlier today.,0
Taj Mahal to be converted into luxury hotel the story trended across major platforms.,0
Finance Minister announces GDP growth of 7.8 percent for 2025 experts welcomed the development.,1
ISRO successfully tests reusable rocket system journalists covered the event extensively.,1
Supreme Court rules in favor of environmental protection measures experts welcomed the development.,1
All exams in India canceled permanently due to AI the story trended across major platforms.,0
ISRO to build space colony on Mars by 2026 the announcement created buzz nationwide.,0
Prime Minister Narendra Modi inaugurates new AI research center in Bengaluru citizens reacted positively to the news.,1
Prime Minister Narendra Modi inaugurates new AI research center in Bengaluru journalists covered the event extensively.,1
India launches new satellite for climate observation the story trended across major platforms.,1
Government expands digital payment system in rural areas the announcement created buzz nationwide.,1
Supreme Court rules in favor of environmental protection measures according to recent reports.,1
Supreme Court allows unlimited holidays for students social media users discussed it widely.,0
ISRO to build space colony on Mars by 2026 journalists covered the event extensively.,0
ISRO successfully tests reusable rocket system sources confirmed on Friday.,1
Government expands digital payment system in rural areas the ministry said in a press release.,1
India introduces cryptocurrency as official currency the story trended across major platforms.,0
ISRO successfully tests reusable rocket system the announcement created buzz nationwide.,1
All exams in India canceled permanently due to AI the ministry said in a press release.,0
Supreme Court rules in favor of environmental protection measures social media users discussed it widely.,1
Government declares every Sunday as national holiday journalists covered the event extensively.,0
Indian Navy commissions new submarine INS Vikrant sources confirmed on Friday.,1
National anthem changed to a new remix version citizens reacted positively to the news.,0
All exams in India canceled permanently due to AI journalists covered the event extensively.,0
India introduces cryptocurrency as official currency journalists covered the event extensively.,0
India signs trade agreement with Japan the story trended across major platforms.,1
India bans all use of mobile phones in public areas experts welcomed the development.,0
New Delhi airport renamed to Bollywood International experts welcomed the development.,0
India signs trade agreement with Japan journalists covered the event extensively.,1
Prime Minister Narendra Modi inaugurates new AI research center in Bengaluru citizens reacted positively to the news.,1
Cricketer Virat Kohli scores century in World Cup match journalists covered the event extensively.,1
ISRO successfully tests reusable rocket system officials stated earlier today.,1
All exams in India canceled permanently due to AI social media users discussed it widely.,0
Taj Mahal to be converted into luxury hotel experts welcomed the development.,0
Supreme Court rules in favor of environmental protection measures officials stated earlier today.,1
ISRO to build space colony on Mars by 2026 the ministry said in a press release.,0
Supreme Court rules in favor of environmental protection measures the story trended across major platforms.,1
Cricketer Virat Kohli scores century in World Cup match the story trended across major platforms.,1
New Delhi airport renamed to Bollywood International the story trended across major platforms.,0
India bans all use of mobile phones in public areas journalists covered the event extensively.,0
Supreme Court allows unlimited holidays for students sources confirmed on Friday.,0
Government declares every Sunday as national holiday the story trended across major platforms.,0
India signs trade agreement with Japan sources confirmed on Friday.,1
All exams in India canceled permanently due to AI officials stated earlier today.,0
Prime Minister Narendra Modi inaugurates new AI research center in Bengaluru social media users discussed it widely.,1
Prime Minister Narendra Modi inaugurates new AI research center in Bengaluru the announcement created buzz nationwide.,1
Indian Railways introduces high-speed train on Delhi-Mumbai route the story trended across major platforms.,1
ISRO to build space colony on Mars by 2026 the story trended across major platforms.,0
India introduces cryptocurrency as official currency citizens reacted positively to the news.,0
Government expands digital payment system in rural areas social media users discussed it widely.,1
Rupee to be replaced by digital coin ModiCoin the ministry said in a press release.,0
ISRO to build space colony on Mars by 2026 the announcement created buzz nationwide.,0
India signs trade agreement with Japan journalists covered the event extensively.,1
ISRO successfully tests reusable rocket system sources confirmed on Friday.,1
Indian Railways introduces high-speed train on Delhi-Mumbai route the ministry said in a press release.,1
India bans all use of mobile phones in public areas the announcement created buzz nationwide.,0
Prime Minister Narendra Modi inaugurates new AI research center in Bengaluru experts welcomed the development.,1
Prime Minister Narendra Modi inaugurates new AI research center in Bengaluru officials stated earlier today.,1
India launches new satellite for climate observation social media users discussed it widely.,1
