text,label
ISRO launched a record 104 satellites in a single mission in 2017.,neutral
India’s Aadhaar project is the largest biometric ID system in the world.,neutral
"India became a republic on January 26, 1950.",neutral
The Quit India Movement was launched in 1942.,neutral
India won its first Olympic gold medal in hockey in 1928.,neutral
"India became a republic on January 26, 1950.",neutral
India has developed its own supercomputers.,neutral
The Indian football team has participated in the Asian Games.,neutral
Bangalore is known as the Silicon Valley of India.,neutral
Jawaharlal Nehru became India’s first Prime Minister.,neutral
The Indian Premier League is a professional Twenty20 cricket league.,neutral
India’s economy is among the fastest-growing in the world.,neutral
The Indian Space Research Organisation (ISRO) launched Chandrayaan missions to the Moon.,neutral
The Indian football team has participated in the Asian Games.,neutral
India is located in South Asia.,neutral
Kerala is known for its backwaters and tropical climate.,neutral
The Thar Desert is located in the northwestern part of India.,neutral
The Indian Rupee is the official currency of India.,neutral
New Delhi is the capital city of India.,neutral
The Thar Desert is located in the northwestern part of India.,neutral
Diwali is celebrated as the festival of lights across India.,neutral
The Indus Valley Civilization was one of the world's earliest urban civilizations.,neutral
The British East India Company established control over India in the 18th century.,neutral
Holi is known as the festival of colors in India.,neutral
India exports software services globally.,neutral
Diwali is celebrated as the festival of lights across India.,neutral
India launched its first satellite Aryabhata in 1975.,neutral
India’s Aadhaar project is the largest biometric ID system in the world.,neutral
Neeraj Chopra won a gold medal in javelin throw at the Tokyo Olympics.,neutral
India has developed its own supercomputers.,neutral
India gained independence from British rule in 1947.,neutral
The Taj Mahal is one of the Seven Wonders of the World.,neutral
The Indian football team has participated in the Asian Games.,neutral
India is one of the largest producers of milk in the world.,neutral
The Reserve Bank of India is the country’s central bank.,neutral
Mangalyaan was India’s first Mars mission.,neutral
The Indus Valley Civilization was one of the world's earliest urban civilizations.,neutral
Indian cuisine varies greatly from region to region.,neutral
Kerala is known for its backwaters and tropical climate.,neutral
Yoga originated in ancient India.,neutral
The Indus Valley Civilization was one of the world's earliest urban civilizations.,neutral
The agriculture sector employs a large portion of India’s population.,neutral
Indian cuisine varies greatly from region to region.,neutral
Holi is known as the festival of colors in India.,neutral
Bangalore is known as the Silicon Valley of India.,neutral
India won its first Olympic gold medal in hockey in 1928.,neutral
India launched its first satellite Aryabhata in 1975.,neutral
The IT industry is a major contributor to India’s economy.,neutral
The Taj Mahal is one of the Seven Wonders of the World.,neutral
Sachin Tendulkar is one of India’s greatest cricketers.,neutral
India has a national kabaddi team that has won multiple world titles.,neutral
India is known for its diverse cultures and traditions.,neutral
New Delhi is the capital city of India.,neutral
"India has a mixed economy with agriculture, manufacturing, and services sectors.",neutral
India gained independence from British rule in 1947.,neutral
India has a national kabaddi team that has won multiple world titles.,neutral
India has a robust telecommunications network.,neutral
India has a national kabaddi team that has won multiple world titles.,neutral
India is known for its diverse cultures and traditions.,neutral
The Reserve Bank of India is the country’s central bank.,neutral
Diwali is celebrated as the festival of lights across India.,neutral
The Mughal Empire ruled large parts of India from the 16th to the 19th century.,neutral
India has a growing biotechnology industry.,neutral
The Ganges River flows through northern India.,neutral
The Reserve Bank of India is the country’s central bank.,neutral
P.V. Sindhu is an Olympic medalist in badminton.,neutral
The Indus Valley Civilization was one of the world's earliest urban civilizations.,neutral
Mangalyaan was India’s first Mars mission.,neutral
The Reserve Bank of India is the country’s central bank.,neutral
The Mughal Empire ruled large parts of India from the 16th to the 19th century.,neutral
"India shares borders with Pakistan, China, Nepal, Bhutan, Bangladesh, and Myanmar.",neutral
Cricket is the most followed sport in India.,neutral
The IT industry is a major contributor to India’s economy.,neutral
The Mughal Empire ruled large parts of India from the 16th to the 19th century.,neutral
Jawaharlal Nehru became India’s first Prime Minister.,neutral
Mount Kanchenjunga is the highest mountain peak in India.,neutral
P.V. Sindhu is an Olympic medalist in badminton.,neutral
Mangalyaan was India’s first Mars mission.,neutral
Ashoka the Great was an emperor of the Maurya Dynasty.,neutral
The Indian Premier League is a professional Twenty20 cricket league.,neutral
The Sundarbans mangrove forest is shared between India and Bangladesh.,neutral
The Thar Desert is located in the northwestern part of India.,neutral
"India has a mixed economy with agriculture, manufacturing, and services sectors.",neutral
The Indian football team has participated in the Asian Games.,neutral
Mahatma Gandhi led the Indian independence movement using non-violence.,neutral
The Reserve Bank of India is the country’s central bank.,neutral
India is located in South Asia.,neutral
Neeraj Chopra won a gold medal in javelin throw at the Tokyo Olympics.,neutral
India gained independence from British rule in 1947.,neutral
"India became a republic on January 26, 1950.",neutral
Indian cuisine varies greatly from region to region.,neutral
Milkha Singh was known as the Flying Sikh of India.,neutral
The IT industry is a major contributor to India’s economy.,neutral
"The Indian Constitution came into effect on January 26, 1950.",neutral
India has developed its own supercomputers.,neutral
Mahatma Gandhi led the Indian independence movement using non-violence.,neutral
The DRDO is responsible for defense research and development in India.,neutral
The IT industry is a major contributor to India’s economy.,neutral
"The Indian Constitution came into effect on January 26, 1950.",neutral
India has hosted the Cricket World Cup three times.,neutral
Jawaharlal Nehru became India’s first Prime Minister.,neutral
The Quit India Movement was launched in 1942.,neutral
Bangalore is known as the Silicon Valley of India.,neutral
The agriculture sector employs a large portion of India’s population.,neutral
P.V. Sindhu is an Olympic medalist in badminton.,neutral
Mumbai is considered the financial capital of India.,neutral
The Quit India Movement was launched in 1942.,neutral
India is one of the largest producers of milk in the world.,neutral
Cricket is one of the most popular sports in India.,neutral
Bollywood is the largest film industry in India.,neutral
Sachin Tendulkar is one of India’s greatest cricketers.,neutral
Mumbai is considered the financial capital of India.,neutral
Bangalore is known as the Silicon Valley of India.,neutral
India is known for its diverse cultures and traditions.,neutral
The Himalayas form the northern border of India.,neutral
India gained independence from British rule in 1947.,neutral
The Mughal Empire ruled large parts of India from the 16th to the 19th century.,neutral
Mangalyaan was India’s first Mars mission.,neutral
India is famous for its classical dance forms like Bharatanatyam and Kathak.,neutral
